"Refs","Value","Footprint","Qty","DNP"
"A1","Raspberry Pi Pico 2 W","Module:RaspberryPi_Pico_Common_THT","1",""
"C1-C8","100n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","8",""
"C9-C11","22u","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","3",""
"C12","100u","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","1",""
"D1","1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1",""
"J1","REGULATED 5V INPUT","TerminalBlock_Altech:Altech_AK100_1x02_P5.00mm","1",""
"Q1","2N3904 MCP RESET","Package_TO_SOT_THT:TO-92_Inline","1",""
"R17-R22,R27,R28,R31","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","9",""
"R23-R26,R29","4.7k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","5",""
"R30","47k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"RN1-RN5","8x10k bussed","Resistor_THT:R_Array_SIP9","5",""
"TP1","M1# TEST","TestPoint:TestPoint_Loop_D2.60mm_Drill0.9mm_Beaded","1",""
"TP2","CLK TEST","TestPoint:TestPoint_Loop_D2.60mm_Drill0.9mm_Beaded","1",""
"TP3","RESET# TEST","TestPoint:TestPoint_Loop_D2.60mm_Drill0.9mm_Beaded","1",""
"TP4","WAIT# TEST","TestPoint:TestPoint_Loop_D2.60mm_Drill0.9mm_Beaded","1",""
"TP5","BUSREQ# TEST","TestPoint:TestPoint_Loop_D2.60mm_Drill0.9mm_Beaded","1",""
"TP6","BUSACK# TEST","TestPoint:TestPoint_Loop_D2.60mm_Drill0.9mm_Beaded","1",""
"TP7","GND TEST","TestPoint:TestPoint_Loop_D2.60mm_Drill0.9mm_Beaded","1",""
"U1","Z84C0020PEC","Package_DIP:DIP-40_W15.24mm","1",""
"U2","AS6C1008-55PCN","Package_DIP:DIP-32_W15.24mm","1",""
"U3","ATF22V10B/C","Package_DIP:DIP-24_W7.62mm","1",""
"U4","SN74AHCT244N","Package_DIP:DIP-20_W7.62mm","1",""
"U7","SN74LVC244AN","Package_DIP:DIP-20_W7.62mm","1",""
"U8","MCP23S17-E/SP","Package_DIP:DIP-28_W7.62mm","1",""
"U9","SN74AHCT245N Pico-to-bus","Package_DIP:DIP-20_W7.62mm","1",""
"U10","SN74LVC245AN bus-to-Pico","Package_DIP:DIP-20_W7.62mm","1",""
