Ref,Val,Package,PosX,PosY,Rot,Side
"A1","Raspberry Pi Pico 2 W","RaspberryPi_Pico_Common_THT",7.800000,-134.000000,90.000000,top
"C1","100n","C_Disc_D5.0mm_W2.5mm_P2.50mm",34.000000,-42.500000,0.000000,top
"C2","100n","C_Disc_D5.0mm_W2.5mm_P2.50mm",28.000000,-22.000000,0.000000,top
"C3","100n","C_Disc_D5.0mm_W2.5mm_P2.50mm",105.000000,-30.000000,0.000000,top
"C4","100n","C_Disc_D5.0mm_W2.5mm_P2.50mm",58.000000,-59.000000,0.000000,top
"C5","100n","C_Disc_D5.0mm_W2.5mm_P2.50mm",155.000000,-55.000000,90.000000,top
"C6","100n","C_Disc_D5.0mm_W2.5mm_P2.50mm",71.000000,-43.000000,0.000000,top
"C7","100n","C_Disc_D5.0mm_W2.5mm_P2.50mm",115.200000,-55.000000,90.000000,top
"C8","100n","C_Disc_D5.0mm_W2.5mm_P2.50mm",134.200000,-55.000000,90.000000,top
"C9","22u","CP_Radial_D8.0mm_P3.50mm",32.000000,-61.000000,0.000000,top
"C10","22u","CP_Radial_D8.0mm_P3.50mm",96.000000,-82.000000,0.000000,top
"C11","22u","CP_Radial_D8.0mm_P3.50mm",158.000000,-82.000000,0.000000,top
"C12","100u","CP_Radial_D10.0mm_P5.00mm",27.000000,-12.000000,0.000000,top
"D1","1N5819","D_DO-41_SOD81_P10.16mm_Horizontal",15.000000,-105.000000,0.000000,top
"J1","REGULATED 5V INPUT","Altech_AK100_1x02_P5.00mm",16.000000,-13.000000,0.000000,top
"Q1","2N3904 MCP RESET","TO-92_Inline",86.000000,-62.000000,0.000000,top
"R1","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",8.000000,-90.000000,90.000000,top
"R2","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",13.600000,-90.000000,90.000000,top
"R3","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",19.200000,-90.000000,90.000000,top
"R4","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",24.800000,-90.000000,90.000000,top
